experiment,Date,Time,Months,Ring,Plot,Rep,Mesh,Trt,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt1,2013-12-04,6,6.6,R1,1,1,2mm,elevated,2.01,0.93,0.46268656716417916,0.748050009339219
expt1,2013-12-04,6,6.6,R1,1,2,2mm,elevated,2.04,0.83,0.4068627450980392,0.6917137047997152
expt1,2013-12-04,6,6.6,R1,2,1,2mm,elevated,2.09,0.99,0.4736842105263158,0.7590702092666634
expt1,2013-12-04,6,6.6,R1,2,2,2mm,elevated,2.01,0.9,0.4477611940298508,0.7330638514842744
expt1,2013-12-04,6,6.6,R1,3,1,2mm,elevated,2.04,1.09,0.5343137254901961,0.8197388808464033
expt1,2013-12-04,6,6.6,R1,3,2,2mm,elevated,2.03,0.95,0.4679802955665025,0.7533565327627723
expt1,2013-12-04,6,6.6,R1,4,1,2mm,elevated,2.02,0.91,0.4504950495049505,0.735811971494488
expt1,2013-12-04,6,6.6,R1,4,2,2mm,elevated,2.05,0.89,0.4341463414634147,0.719352611221452
expt1,2013-12-04,6,6.6,R2,1,1,2mm,ambient,2.08,0.84,0.4038461538461538,0.6886415671420556
expt1,2013-12-04,6,6.6,R2,1,2,2mm,ambient,2.02,0.83,0.41089108910891087,0.6958106734398014
expt1,2013-12-04,6,6.6,R2,2,1,2mm,ambient,2.04,0.81,0.3970588235294118,0.6817155176425557
expt1,2013-12-04,6,6.6,R2,2,2,2mm,ambient,2.05,0.89,0.4341463414634147,0.719352611221452
expt1,2013-12-04,6,6.6,R2,3,1,2mm,ambient,2.05,0.84,0.40975609756097564,0.6946569741714999
expt1,2013-12-04,6,6.6,R2,3,2,2mm,ambient,2,0.86,0.43,0.7151674560425204
expt1,2013-12-04,6,6.6,R2,4,1,2mm,ambient,2.01,0.94,0.4676616915422886,0.7530372668546753
expt1,2013-12-04,6,6.6,R2,4,2,2mm,ambient,2.04,0.86,0.4215686274509804,0.7066415302940331
expt1,2013-12-04,6,6.6,R3,1,1,2mm,ambient,2.05,0.99,0.4829268292682927,0.7683216731154069
