experiment,Date,Time,Months,Ring,Plot,Trt,prevTrt,psyllid,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt2,2018-12-13,16,15.6,R5,4,elevated,eCO2,Psyl,2.001,1.05,0.5247376311844079,0.8101458978501522
expt2,2018-12-13,16,15.6,R6,1,ambient,aCO2,noPsyl,2.018,1.24,0.6144697720515362,0.9008922402360102
expt2,2018-12-13,16,15.6,R6,1,ambient,aCO2,Psyl,2.024,0.81,0.40019762845849804,0.6849208984045937
expt2,2018-12-13,16,15.6,R6,1,ambient,eCO2,noPsyl,2.003,1.22,0.6090863704443334,0.8953690200578619
expt2,2018-12-13,16,15.6,R6,1,ambient,eCO2,Psyl,2.027,1.03,0.5081401085347804,0.793538631558269
expt2,2018-12-13,16,15.6,R6,2,ambient,aCO2,noPsyl,1.995,1.14,0.5714285714285714,0.8570719478501309
expt2,2018-12-13,16,15.6,R6,2,ambient,aCO2,Psyl,2.023,0.86,0.4251112209589718,0.7102265188033906
expt2,2018-12-13,16,15.6,R6,2,ambient,eCO2,noPsyl,2.05,1.17,0.5707317073170732,0.8563679334622939
expt2,2018-12-13,16,15.6,R6,2,ambient,eCO2,Psyl,1.963,1.16,0.5909322465613855,0.8768392801453735
expt2,2018-12-13,16,15.6,R6,3,ambient,aCO2,noPsyl,2.002,1.35,0.6743256743256745,0.9634640516464488
expt2,2018-12-13,16,15.6,R6,3,ambient,aCO2,Psyl,1.97,0.9,0.4568527918781726,0.7421972241175424
expt2,2018-12-13,16,15.6,R6,3,ambient,eCO2,noPsyl,2.014,1.14,0.5660377358490566,0.8516294151262523
expt2,2018-12-13,16,15.6,R6,3,ambient,eCO2,Psyl,2.012,1.09,0.5417495029821074,0.8271963327292875
expt2,2018-12-13,16,15.6,R6,4,ambient,aCO2,noPsyl,NA,NA,NA,NA
expt2,2018-12-13,16,15.6,R6,4,ambient,aCO2,Psyl,1.993,1.14,0.5720020070245859,0.8576513745315416
expt2,2018-12-13,16,15.6,R6,4,ambient,eCO2,noPsyl,1.999,1.18,0.5902951475737869,0.8761914538958067
expt2,2018-12-13,16,15.6,R6,4,ambient,eCO2,Psyl,1.944,0.69,0.35493827160493824,0.6382202430777189
